Time [s],Channel 0
1.242820356,0
1.242820396,1
1.242820436,0
1.242820476,1
1.242820516,0
1.242820596,1
1.242820636,0
1.242820676,1
1.242820716,0
1.242820756,1
1.242820796,0
1.242820836,1
1.242820916,0
1.242820956,1
1.242820996,0
1.242821036,1
1.242821076,0
1.242821116,1
1.242821156,0
1.242821236,1
1.242821316,0
1.242821356,1
1.242821396,0
1.242821476,1
1.242821556,0
1.242821596,1
1.242821636,0
1.242821676,1
1.242821716,0
1.242821796,1
1.242821836,0
1.242821876,1
1.242821956,0
1.242822036,1
1.242822076,0
1.242822116,1
1.242822196,0
1.242822236,1
1.242822276,0
1.242822316,1
1.242822356,0
1.242822396,1
1.242822436,0
1.242822476,1
1.242822516,0
1.242822596,1
1.242822636,0
1.242822676,1
1.242822716,0
1.242822756,1
1.242822796,0
1.242822836,1
1.242822916,0
1.242822996,1
1.242823036,0
1.242823076,1
1.242823116,0
1.242823156,1
1.242823236,0
1.242823316,1
1.242823356,0
1.242823396,1
1.242823476,0
1.242823556,1
1.242823596,0
1.242823636,1
1.242823676,0
1.242823716,1
1.242823756,0
1.242823796,1
1.242823876,0
1.242823956,1
1.242824036,0
1.242824076,1
1.242824116,0
1.242824196,1
1.242824236,0
1.242824276,1
1.242824316,0
1.242824356,1
1.242824396,0
1.242824436,1
1.242824516,0
1.242824556,1
1.242824596,0
1.242824676,1
1.242824716,0
1.242824756,1
1.242824796,0
1.242824836,1
1.242824876,0
1.242824916,1
1.242824996,0
1.242825036,1
1.242825076,0
1.242825116,1
1.242825156,0
1.242825196,1
1.242825236,0
1.242825316,1
1.242825356,0
1.242825396,1
1.242825476,0
1.242825556,1
1.242825596,0
1.242825634,1
1.242825676,0
1.242825716,1
1.242825756,0
1.242825796,1
1.242825836,0
1.242825876,1
1.242825916,0
1.242825956,1
1.242825996,0
1.242826036,1
1.242826076,0
1.242826116,1
1.242826156,0
1.242826196,1
1.242826276,0
1.242826356,1
1.242826396,0
1.242826436,1
1.242826476,0
1.242826516,1
1.242826556,0
1.242826596,1
1.242826636,0
1.242826676,1
1.242826756,0
1.242826796,1
1.242826836,0
1.242826876,1
1.242826916,0
1.242826996,1
1.242827036,0
1.242827074,1
1.242827156,0
1.242827196,1
1.242827236,0
1.242827316,1
1.242827356,0
1.242827394,1
1.242827436,0
1.242827474,1
